RA,DEC,uid,designation,snrg,[Fe/H]
124.0148907,21.242934,L16337041079535,J081603.57+211434.5,54.44,-1.537
50.9980824,21.4401551,G17409067931758,J032359.53+212624.5,57.85,-1.105
169.4037856,6.7560926,G15445882476029,J111736.90+064521.9,317.56,-0.404
191.1968463,-2.127955,G11051590566642,J124447.24-020740.6,29.97,-1.363
194.9762965,58.1943037,L14704967931361,J125954.31+581139.4,92.89,-0.39
240.3792807,6.3125285,G14496634487950,J160131.02+061845.1,74.38,-1.209
238.4842513,22.6283006,G15208450069914,J155356.22+223741.8,81.55,-1.355
195.8248683,28.903012,G15029101287419,J130317.96+285410.8,29.75,-1.839
207.05649,-0.680118,G11152099065110,J134813.55-004048.4,14.86,-1.214
16.280446,3.360074,G17075963539662,J010507.30+032136.2,80.6,-2.037
204.638755,33.18923,G15152617880869,J133833.30+331121.2,109.69,-0.887
225.822457,46.172575,G15357923397546,J150317.38+461021.2,32.47,-0.971
280.046842,43.320956,G14034531522350,J184011.24+431915.4,18.86,-1.855
82.423487,39.714591,G16576668551073,J052941.63+394252.5,14.74,-0.174
343.453642,9.316764,G13425257026000,J225348.87+091900.3,49.72,-0.582
227.89847,31.896063,G15382341343113,J151135.40+315345.8,74.44,-0.676
132.913059,55.839085,G15754881615620,J085139.13+555020.7,152.23,-0.313
188.5676,38.625637,G14991477032180,J123416.22+383732.2,42.2,-1.494
247.521806,23.663352,G14502488465511,J163005.23+233948.0,166.75,-1.549
284.681208,49.39075,G14031364485519,J185843.48+492326.7,176.12,-0.676
186.181021,49.229831,G14638764720076,J122443.44+491347.3,50.61,-1.293
159.8404117,38.4804647,G16413568976499,J103921.69+382849.6,72.67,-0.71
296.12024,43.915131,G14085954230125,J194428.85+435454.4,66.47,-0.631
288.27295,42.349873,G14081250343801,J191305.50+422059.5,158.65,-0.787
290.9136,40.060741,G14080297720320,J192339.26+400338.6,89.25,-0.592
99.6298961,46.7760244,G16232758584078,J063831.17+464633.6,46.3,-0.266
212.106418,47.185979,L15165848963165,J140825.23+471109.5,601.03,-1.115
151.82261,6.086143,G15553257615180,J100717.51+060510.1,121.29,-1.861
207.6316831,44.1941356,G15171886960713,J135031.60+441138.8,35.19,-0.889
230.717797,29.539478,G15335895036546,J152252.27+293222.1,106.88,-1.62
159.7936,6.347064,G15632665104376,J103910.46+062049.4,12.15,-1.438
172.105892,4.820258,G15450913353811,J112825.41+044912.9,100.74,-1.114
247.639314,14.790325,G14504426211143,J163033.43+144725.1,7.5,-1.351
249.116364,39.021658,G15314417634965,J163627.92+390117.9,106.22,-0.909
129.4104408,25.4752081,G16465071238128,J083738.50+252830.7,24.16,-1.181
230.237943,37.878836,G15388839375847,J152057.10+375243.8,75.65,-1.685
42.303563,55.572639,G16854443172544,J024912.85+553421.5,61.12,-1.784
117.1349956,19.4956361,G16030713585174,J074832.39+192944.2,71.02,-1.686
54.294833,0.5784444,G16635208407054,J033710.75+003442.3,52.56,-0.936
330.49642,15.720241,G13382890379345,J220159.14+154312.8,80.32,-0.779
346.7362983,47.4065329,L14163417203079,J230656.71+472423.5,88.37,-0.271
96.1297326,42.2193491,L16219502879225,J062431.13+421309.6,78.24,-0.946
