ra,dec,uid,flag
1.827173,3.286318,G17045379244023,0
205.888636,38.860328,G15172068412503,1
287.87274,46.437222,G14029941106082,1
158.460414,9.146506,G15628533082501,1
207.056499,-0.680114,G11152099065110,1
50.9980824,21.4401551,G17409067931758,1
205.593079,30.664019,G15138697707271,0
194.052514,28.067113,G15026898385137,1
285.1842,44.35228,G14031752117004,1
200.881343,49.520659,G15175179829426,1
180.266674,-0.975184,G10995245313340,1
173.2849672,2.8503018,G15404575590412,0
230.717797,29.539478,G15335895036546,1
172.765357,8.056331,G15461721789897,0
130.098673,39.141329,G16479139138043,1
238.851582,28.407584,G15325891290610,0
123.0316578,5.7631858,G16068970624392,1
213.607755,46.554086,G15162639461171,0
186.181021,49.229831,G14638764720076,1
157.98595,7.647299,G15626569425898,1
174.931062,27.148693,G15513160088498,0
189.0554215,-0.4825197,G11004181888940,1
322.117674,8.037685,G13344052517850,0
59.71571,18.773125,G16665632766330,0
247.988815,39.067282,G15314634068036,1
205.7648397,28.3834578,G15139714307096,1
127.386938,42.489028,G16449043619803,1
173.311849,-0.83715,G10452837204381,0
206.894827,0.971715,G14947654126303,0
125.422263,36.008902,G16470498066350,0
233.55193,0.3262744,G14438880384581,0
141.463849,-1.655126,G10528916872935,0
104.3623942,55.7198903,G15801615940186,1
137.097318,4.565259,G16288295376092,0
230.237943,37.878836,G15388839375847,1
239.766438,41.665064,G15307965537637,0
243.96272,12.893655,G14474862058080,1
134.98888,1.05526,G16286780566590,1
117.1349956,19.4956361,G16030713585174,1
212.106418,47.185979,L15165848963165,0
290.90973,40.307899,L14080308708212,1
243.968534,22.715222,G14500765782225,0
359.79368,4.6089467,G13195370341828,0
217.001399,27.362859,G15365904163443,1
195.82492,28.902996,G15029101287419,1
204.9120314,18.6008677,G15063555124036,0
133.333435,1.49346639,G16012596818754,0
168.092209,40.608281,G16365300152570,0
172.677049,6.616376,G15458315212232,0
177.529738,6.506121,G15400932948451,1
242.861701,31.391201,G15304449716713,1
200.583484,48.230351,G15178074267292,0
197.7267067,35.3633095,L17589193995742,1
291.245819,42.028362,G14087110451615,0
164.308813,-3.171786,G10478835706487,0
194.188636,0.675287,G14871009026321,0
199.5015458,38.2815158,G15182304040647,0
257.217708,53.343954,G14717662667830,0
231.548154,45.241651,G15352183897521,0
166.338145,10.3403505,G15621843468407,0
127.553001,23.705102,G16331545118414,0
240.898108,33.426883,G15299874961389,0
248.257256,1.652906,G14517972043895,0
287.148621,38.1203065,G14079629780509,0
229.725406,35.016886,G15387636907682,1
231.800488,40.664046,G15350973136713,0
195.71725,25.57303,G15027854547914,0
226.2850353,7.0318601,L16606276598262,1
219.7525947,19.7103994,G15232254710153,0
227.88644,30.98563,G15382274155086,0
177.7934945,19.8846028,G15410849662401,0
208.2298153,0.6415306,G14961537747241,0
18.1968575,3.5028901,G17061541848529,0
