RA,DEC,Teff,logg,FeH,lmjd,planid,spid,fiberid,obsid,uid,rv,snru,snrg,mag_ps_g
348.657761,39.543099,5118.04,2.522,-1.653,60591,LN231823N414625BM01,1,212,1247701212,L14166593776015,-401.52,12.6,45.81,-999.0
350.2969748,39.7631195,4738.28,1.863,-1.116,60591,LN231823N414625BM01,1,232,1247701232,L14166076095466,-260.75,7.06,43.32,16.2941
348.3362298,41.8970892,4563.05,1.419,-1.233,60591,LN231823N414625BM01,3,99,1247703099,L14170734357722,-224.57,12.88,96.06,15.4476
348.2092118,42.2711507,4951.77,2.366,-0.955,60591,LN231823N414625BM01,3,233,1247703233,L14170773735962,-333.67,10.41,59.74,-999.0
350.1887096,41.662744,5228.72,2.547,-1.629,60591,LN231823N414625BM01,4,122,1247704122,L14171102923871,-298.05,29.41,98.3,-999.0
348.95773,41.9471648,4925.44,2.276,-0.912,60591,LN231823N414625BM01,4,153,1247704153,L14170949187974,-73.23,8.04,45.54,-999.0
348.9205591,40.7116073,4919.68,2.509,-0.863,60591,LN231823N414625BM01,5,91,1247705091,L14166312601956,-311.45,17.11,106.76,15.2192
352.8288534,41.3757124,4970.86,2.269,-1.371,60591,LN231823N414625BM01,6,23,1247706023,L14158602220036,-336.93,11.56,54.45,-999.0
351.8429817,41.4362948,5011.67,2.361,-1.743,60591,LN231823N414625BM01,6,68,1247706068,L14158393280362,-286.83,5.34,22.7,-999.0
351.5499253,41.1700636,4869.0,2.438,-0.775,60591,LN231823N414625BM01,6,175,1247706175,L14170195076565,-266.97,17.04,96.06,-999.0
350.8947181,41.6136941,5118.36,2.408,-0.906,60591,LN231823N414625BM01,8,215,1247708215,L14170388392850,-127.13,11.11,59.11,20.4811
350.62628,42.6825034,5021.81,2.381,-0.736,60591,LN231823N414625BM01,9,173,1247709173,L14171133602770,-117.43,7.56,49.72,16.144
349.0852459,44.1634552,4970.7,2.298,-1.596,60591,LN231823N414625BM01,11,10,1247711010,L14173224004096,-64.66,5.54,31.27,-999.0
352.6013628,42.4603382,5117.62,2.303,-0.787,60591,LN231823N414625BM01,13,84,1247713084,L14159256820517,-39.77,9.43,51.33,-999.0
351.8098869,42.6201955,5257.48,2.681,-1.493,60591,LN231823N414625BM01,13,157,1247713157,L14158965261715,-46.5,26.72,97.38,-999.0
346.4422409,41.8921924,4975.83,2.798,-0.81,60591,LN231823N414625BM01,14,2,1247714002,L14167712277689,-60.93,10.44,60.13,-999.0
346.7742729,41.8388918,4929.89,2.455,-0.89,60591,LN231823N414625BM01,14,40,1247714040,L14167525360178,-96.63,6.43,41.98,19.4316
348.2893824,42.6031876,4995.28,2.396,-1.724,60591,LN231823N414625BM01,15,93,1247715093,L14170743272200,-193.58,9.35,45.99,-999.0
348.8664513,43.1117106,5066.26,2.947,-1.05,60591,LN231823N414625BM01,15,221,1247715221,L14172976990387,-57.38,12.08,61.89,15.6518
314.7412787,20.3302707,4177.11,0.993,-0.995,60592,LN205816N221933VB01,1,34,1257101034,L14142437164737,-183.18,22.49,229.08,-999.0
314.1577863,20.5748801,5339.48,2.679,-1.011,60592,LN205816N221933VB01,1,73,1257101073,L14143142507302,-163.59,20.84,72.9,19.424
314.235604,19.9672502,4403.96,1.065,-1.433,60592,LN205816N221933VB01,1,106,1257101106,G14142413283401,-126.66,13.46,81.48,-999.0
312.6809141,21.0134137,4451.27,1.507,-0.977,60592,LN205816N221933VB01,2,73,1257102073,L14140910341347,-49.68,7.53,43.77,18.9937
312.9010677,20.6540966,4999.44,2.299,-1.756,60592,LN205816N221933VB01,2,79,1257102079,G14140821205545,-251.6,16.27,52.05,-999.0
312.8960818,20.5158648,4646.87,2.533,-0.735,60592,LN205816N221933VB01,2,91,1257102091,L14140813885438,-48.66,10.83,51.53,14.8148
313.7282674,22.0080256,4224.66,1.346,-0.98,60592,LN205816N221933VB01,3,201,1257103201,L14142824457969,-51.87,24.8,215.17,-999.0
313.4953474,22.9552789,4292.96,1.605,-0.857,60592,LN205816N221933VB01,3,240,1257103240,G14139467699167,-39.24,16.68,143.99,-999.0
314.9890286,21.979278,4764.25,2.503,-0.775,60592,LN205816N221933VB01,4,80,1257104080,L14143059831154,-40.78,9.8,55.28,14.7494
314.8667181,22.4385241,5202.15,2.525,-1.266,60592,LN205816N221933VB01,4,108,1257104108,L14139893750035,-29.15,21.68,77.87,14.2094
315.2728035,22.3662603,4988.65,2.458,-0.715,60592,LN205816N221933VB01,4,123,1257104123,L14139705646661,-15.32,17.26,85.57,-999.0
314.340315,21.7097129,5015.3,2.178,-0.949,60592,LN205816N221933VB01,5,66,1257105066,L14142976532793,-123.44,44.53,202.98,-999.0
316.371074,22.1685996,4700.28,1.68,-1.419,60592,LN205816N221933VB01,6,124,1257106124,L14139616810095,-239.38,22.51,109.85,-999.0
316.9376,21.7492237,4629.08,1.692,-1.154,60592,LN205816N221933VB01,6,149,1257106149,G14142578334684,-310.78,11.14,78.78,-999.0
316.5685981,21.1415862,4677.07,1.425,-0.935,60592,LN205816N221933VB01,7,217,1257107217,G14142676345427,-134.18,24.15,199.06,15.1999
315.4055118,22.0610334,4722.23,2.365,-0.713,60592,LN205816N221933VB01,8,118,1257108118,L14139710217574,-16.12,11.62,80.29,16.7203
315.3142531,20.9933174,5052.93,2.45,-0.835,60592,LN205816N221933VB01,8,145,1257108145,G14143288700393,-64.82,10.61,66.86,14.5794
315.5794259,22.2563119,4774.88,2.453,-0.776,60592,LN205816N221933VB01,8,205,1257108205,L14139770056808,-46.11,17.61,91.95,14.747
312.9928449,21.9026179,4824.4,1.768,-1.782,60592,LN205816N221933VB01,10,27,1257110027,L14142806942451,-294.15,7.51,42.34,-999.0
312.9298594,22.1379611,4835.8,1.831,-1.728,60592,LN205816N221933VB01,10,100,1257110100,G14139316588881,-166.81,27.58,115.9,-999.0
312.3193404,22.1985709,5236.22,2.645,-1.226,60592,LN205816N221933VB01,10,173,1257110173,L14133945540408,-333.31,60.03,198.16,-999.0
312.8060366,21.8926842,4690.84,1.873,-0.747,60592,LN205816N221933VB01,10,185,1257110185,L14142792512386,-46.74,7.01,54.51,-999.0
313.0534027,21.5562914,4862.81,2.616,-0.783,60592,LN205816N221933VB01,10,218,1257110218,L14142815976468,-48.33,13.17,80.04,-999.0
314.8125002,23.8375071,4968.79,2.745,-0.723,60592,LN205816N221933VB01,11,248,1257111248,L14139131003667,-79.99,50.29,205.93,-999.0
316.7800992,23.0196629,4342.37,1.754,-0.802,60592,LN205816N221933VB01,13,99,1257113099,L14109388373015,-63.89,17.19,150.74,-999.0
316.9830302,22.886255,4798.91,2.4,-0.739,60592,LN205816N221933VB01,13,131,1257113131,L14109455589791,-66.98,5.5,36.88,14.7449
312.0269504,22.3472403,4668.17,1.549,-1.488,60592,LN205816N221933VB01,14,4,1257114004,G14133985226897,-164.01,42.3,176.09,14.7952
312.2705506,22.6088111,5065.95,2.442,-0.792,60592,LN205816N221933VB01,14,32,1257114032,G14131019167663,-100.38,18.54,80.84,-999.0
312.7987204,22.7870315,4241.08,1.416,-0.8,60592,LN205816N221933VB01,14,119,1257114119,G14131003761019,-136.32,6.91,94.53,13.6746
