#NUM,RA,DEC,Teff,logg,[Fe/H],RV,Gmag,distance,Paper,
1,260.961223,49.57974,4530.12,1.33,-1.32,-206.85,11.81,5.08,2,2633464i
2,272.312586,18.683633,4588.16,1.56,-1.18,-109.06,12.86,5.88,2,
3,126.054337,12.348258,5111.33,2.62,-1.25,-137.34,14,3.98,2,
4,13.155076,37.698769,4519.03,1.29,-1.1,-1.31,11.08,3.73,2,2556989i
5,58.123758,28.702921,4701.16,1.42,-1.01,20.94,14.23,11.73,2,
6,255.591906,13.793537,4377.65,1.18,-1.29,-45.36,12.39,6.44,2,
7,145.221221,25.741508,4283.26,1.05,-1.14,202.68,12.07,6.06,2,2558569i
8,268.058059,26.25592,5065.61,2.78,-1.28,-288.09,13.53,2.68,2,
9,58.221019,7.203154,4385.93,1.17,-1.2,35.11,13.63,9.98,2,
10,286.798208,39.136639,4285.58,1.1,-1.07,-320.07,12.33,6.01,2,
11,285.305271,39.972211,4285.1,1.13,-1.05,-173.43,13.15,8.18,2,
12,238.425295,37.116474,5081.74,2.74,-1.04,-138.46,14.01,3.42,2,
13,245.556824,2.385621,4885.94,2.22,-1.32,-74.2,13.93,5.58,2,
14,197.834375,2.999973,4955.84,2.35,-1.25,22.19,13.48,4.22,2,
15,285.1842,44.35228,4660.97,1.56,-1.3,-224.3,12.76,6.08,2,
16,324.343334,12.741764,5183.55,2.82,-1,-89.34,13.14,2.01,2,
17,342.19992,12.798311,4438.42,1.25,-1.32,-210.48,13.18,10.27,2,
18,236.200309,18.926903,4813.12,2.2,-1.05,49.7,13.07,3.68,2,
19,100.373947,23.505917,4953.65,1.77,-1.02,51.64,12.78,4.32,2,
20,284.11285,42.925219,5206.25,2.8,-1.39,-102.15,nan,nan,2,
21,314.750199,1.926393,4616.45,1.74,-1.13,-146.84,14.18,9.08,2,
22,175.739314,35.227389,4922.79,2.17,-1.2,-179.5,12.52,3.32,2,
23,124.93664,16.395891,5018.29,2.24,-1.04,108.17,15.73,14.29,2,
24,115.750434,15.583606,5149.64,2.21,-1.09,-150.54,11.92,2.78,2,2558566i
25,315.913291,2.866725,4602.11,1.31,-1.19,-66.16,13.64,12.05,2,
26,188.059076,46.949296,4717.71,1.51,-1.07,-113.67,13.37,9.51,2,
27,69.680605,-2.744776,4440.35,1.17,-1.02,112.29,nan,nan,2,
28,13.155087,37.69878,4523.43,1.27,-1.11,1.48,11.08,3.83,2,
29,208.122294,28.776737,5120.7,2.69,-1.13,-71.31,14.58,4.73,2,
30,258.915498,-0.867714,4904.53,1.9,-1.11,52.82,14.1,5.88,2,
31,192.855995,42.980711,4672.15,1.86,-1.03,-103.48,12.85,5.09,2,
32,140.205142,32.416518,5100.68,2.7,-1.12,-9.19,12.19,1.66,2,2557940i
33,143.803118,42.020969,5104.77,2.78,-1.15,138.41,15.19,6,2,
34,190.183702,23.307881,5074.91,2.76,-1.09,-5.98,13.65,2.97,2,
35,285.184417,44.35245,4629.44,1.43,-1.3,-226.13,12.76,7.11,2,
36,144.722438,29.003287,4901.83,2.13,-1.23,30.93,13.64,5.53,2,
37,180.266674,-0.975184,4835.22,1.96,-1.24,134.6,12.05,3.22,2,
38,258.215699,8.130489,4530.73,1.09,-1.75,-125.03,12.57,8.52,2,
39,4.672572,5.931023,5168.93,2.78,-1.5,-166.87,15.71,7.71,2,
40,253.944309,21.655845,4717.13,1.68,-1.45,-151.44,14.43,12.59,2,
41,252.464389,34.182806,5011.38,2.23,-1.52,-140.41,13.48,4.54,2,
42,287.87274,46.437222,4792.35,1.73,-1.7,-332.51,13.11,6.6,2,
43,131.89755,39.82615,4463.3,1.04,-1.73,88.26,13.67,16.81,2,
44,205.376603,15.485927,4417.64,0.98,-1.51,-77.03,nan,nan,2,
45,124.289586,16.881133,4694.15,1.64,-1.51,129.7,13.04,6.68,2,
46,260.907233,25.285865,5143.52,2.55,-1.47,-100.55,12.99,2.74,2,
47,214.054033,-2.145359,4671.02,1.5,-1.58,79.75,12.06,4.84,2,
48,255.441439,22.981747,4662.76,1.51,-1.47,59.14,14.37,14.48,2,
49,285.906713,46.007797,5026.27,2.14,-1.7,-369.83,13.44,5.03,2,
50,262.472457,40.32889,4917.29,1.98,-1.61,-282.76,14.43,9.05,2,
51,268.917218,15.243525,5032.12,2.35,-1.53,-170.36,13.82,4.34,2,
52,285.906499,46.007898,5033.53,2.15,-1.67,-377.6,13.44,4.98,2,
53,324.952848,10.529565,4552.7,1.38,-1.45,-112.5,12.31,5.6,2,
54,219.400627,2.712212,4258.69,0.73,-1.44,-43,11.59,6.62,2,
55,278.007834,35.834333,4970.83,2.1,-1.48,-166.09,13.9,5.79,2,
56,203.112046,34.644185,4838.92,1.79,-1.61,-59.08,nan,nan,2,
57,238.492987,43.557804,4422.24,0.86,-1.74,-186.79,12.83,12.98,2,
58,197.656039,-6.979531,5173.49,2.75,-1.4,-12.78,14.45,4.39,2,
59,97.623779,52.121669,4624.59,1.43,-1.56,-86.51,nan,nan,2,
60,187.243568,10.160491,4780.69,1.75,-1.53,103.17,16.39,27.55,2,
61,268.834347,5.638831,4297.45,0.73,-1.6,-79.59,12.32,8.23,2,
62,122.12048,1.946907,4984.4,2.07,-1.53,127.52,12.87,4.14,2,4.915
63,239.91692,32.446199,4375.93,0.79,-1.76,-153.47,12.26,9.56,2,2633462i
64,236.324083,11.185963,5079.32,2.28,-1.71,-67.34,14.17,6.87,2,
65,233.55193,0.326274,4820.93,1.77,-1.59,-53.02,12.76,5.05,2,
66,247.988815,39.067295,4602,1.27,-1.32,-79.2,12.97,5.74,1,
